"cod","icd10_range","icd10"
"Other","S00-S99","S49"
"Other","S00-S99","S50"
"Other","S00-S99","S51"
"Other","S00-S99","S52"
"Other","S00-S99","S53"
"Other","S00-S99","S54"
"Other","S00-S99","S55"
"Other","S00-S99","S56"
"Other","S00-S99","S57"
"Other","S00-S99","S58"
"Other","S00-S99","S59"
"Other","S00-S99","S60"
"Other","S00-S99","S61"
"Other","S00-S99","S62"
"Other","S00-S99","S63"
"Other","S00-S99","S64"
"Other","S00-S99","S65"
"Other","S00-S99","S66"
"Other","S00-S99","S67"
"Other","S00-S99","S68"
"Other","S00-S99","S69"
"Other","S00-S99","S70"
"Other","S00-S99","S71"
"Other","S00-S99","S72"
"Other","S00-S99","S73"
"Other","S00-S99","S74"
"Other","S00-S99","S75"
"Other","S00-S99","S76"
"Other","S00-S99","S77"
"Other","S00-S99","S78"
"Other","S00-S99","S79"
"Other","S00-S99","S80"
"Other","S00-S99","S81"
"Other","S00-S99","S82"
"Other","S00-S99","S83"
"Other","S00-S99","S84"
"Other","S00-S99","S85"
"Other","S00-S99","S86"
"Other","S00-S99","S87"
"Other","S00-S99","S88"
"Other","S00-S99","S89"
"Other","S00-S99","S90"
"Other","S00-S99","S91"
"Other","S00-S99","S92"
"Other","S00-S99","S93"
"Other","S00-S99","S94"
"Other","S00-S99","S95"
"Other","S00-S99","S96"
"Other","S00-S99","S97"
"Other","S00-S99","S98"
"Other","S00-S99","S99"
"Other","T00-T98","T00"
"Other","T00-T98","T01"
"Other","T00-T98","T02"
"Other","T00-T98","T03"
"Other","T00-T98","T04"
"Other","T00-T98","T05"
"Other","T00-T98","T06"
"Other","T00-T98","T07"
"Other","T00-T98","T08"
"Other","T00-T98","T09"
"Other","T00-T98","T10"
"Other","T00-T98","T11"
"Other","T00-T98","T12"
"Other","T00-T98","T13"
"Other","T00-T98","T14"
"Other","T00-T98","T15"
"Other","T00-T98","T16"
"Other","T00-T98","T17"
"Other","T00-T98","T18"
"Other","T00-T98","T19"
"Other","T00-T98","T20"
"Other","T00-T98","T21"
"Other","T00-T98","T22"
"Other","T00-T98","T23"
"Other","T00-T98","T24"
"Other","T00-T98","T25"
"Other","T00-T98","T26"
"Other","T00-T98","T27"
"Other","T00-T98","T28"
"Other","T00-T98","T29"
"Other","T00-T98","T30"
"Other","T00-T98","T31"
"Other","T00-T98","T32"
"Other","T00-T98","T33"
"Other","T00-T98","T34"
"Other","T00-T98","T35"
"Other","T00-T98","T36"
"Other","T00-T98","T37"
"Other","T00-T98","T38"
"Other","T00-T98","T39"
"Other","T00-T98","T40"
"Other","T00-T98","T41"
"Other","T00-T98","T42"
"Other","T00-T98","T43"
"Other","T00-T98","T44"
"Other","T00-T98","T45"
"Other","T00-T98","T46"
"Other","T00-T98","T47"
"Other","T00-T98","T48"
"Other","T00-T98","T49"
"Other","T00-T98","T50"
"Other","T00-T98","T51"
"Other","T00-T98","T52"
"Other","T00-T98","T53"
"Other","T00-T98","T54"
"Other","T00-T98","T55"
"Other","T00-T98","T56"
"Other","T00-T98","T57"
"Other","T00-T98","T58"
"Other","T00-T98","T59"
"Other","T00-T98","T60"
"Other","T00-T98","T61"
"Other","T00-T98","T62"
"Other","T00-T98","T63"
"Other","T00-T98","T64"
"Other","T00-T98","T65"
"Other","T00-T98","T66"
"Other","T00-T98","T67"
"Other","T00-T98","T68"
"Other","T00-T98","T69"
"Other","T00-T98","T70"
"Other","T00-T98","T71"
"Other","T00-T98","T72"
"Other","T00-T98","T73"
"Other","T00-T98","T74"
"Other","T00-T98","T75"
"Other","T00-T98","T76"
"Other","T00-T98","T77"
"Other","T00-T98","T78"
"Other","T00-T98","T79"
"Other","T00-T98","T80"
"Other","T00-T98","T81"
"Other","T00-T98","T82"
"Other","T00-T98","T83"
"Other","T00-T98","T84"
"Other","T00-T98","T85"
"Other","T00-T98","T86"
"Other","T00-T98","T87"
"Other","T00-T98","T88"
"Other","T00-T98","T89"
"Other","T00-T98","T90"
"Other","T00-T98","T91"
"Other","T00-T98","T92"
"Other","T00-T98","T93"
"Other","T00-T98","T94"
"Other","T00-T98","T95"
"Other","T00-T98","T96"
"Other","T00-T98","T97"
"Other","T00-T98","T98"
"Other","U00","U00"
"Neonatal infections","U04","U04"
"Other","V01-V99","V01"
"Other","V01-V99","V02"
"Other","V01-V99","V03"
"Other","V01-V99","V04"
"Other","V01-V99","V05"
"Other","V01-V99","V06"
"Other","V01-V99","V07"
"Other","V01-V99","V08"
"Other","V01-V99","V09"
"Other","V01-V99","V10"
"Other","V01-V99","V11"
"Other","V01-V99","V12"
"Other","V01-V99","V13"
"Other","V01-V99","V14"
"Other","V01-V99","V15"
"Other","V01-V99","V16"
"Other","V01-V99","V17"
"Other","V01-V99","V18"
"Other","V01-V99","V19"
"Other","V01-V99","V20"
"Other","V01-V99","V21"
"Other","V01-V99","V22"
"Other","V01-V99","V23"
"Other","V01-V99","V24"
"Other","V01-V99","V25"
"Other","V01-V99","V26"
"Other","V01-V99","V27"
"Other","V01-V99","V28"
"Other","V01-V99","V29"
"Other","V01-V99","V30"
"Other","V01-V99","V31"
"Other","V01-V99","V32"
"Other","V01-V99","V33"
"Other","V01-V99","V34"
"Other","V01-V99","V35"
"Other","V01-V99","V36"
"Other","V01-V99","V37"
"Other","V01-V99","V38"
"Other","V01-V99","V39"
"Other","V01-V99","V40"
"Other","V01-V99","V41"
"Other","V01-V99","V42"
"Other","V01-V99","V43"
"Other","V01-V99","V44"
"Other","V01-V99","V45"
"Other","V01-V99","V46"
"Other","V01-V99","V47"
"Other","V01-V99","V48"
"Other","V01-V99","V49"
"Other","V01-V99","V50"
"Other","V01-V99","V51"
"Other","V01-V99","V52"
"Other","V01-V99","V53"
"Other","V01-V99","V54"
"Other","V01-V99","V55"
"Other","V01-V99","V56"
"Other","V01-V99","V57"
"Other","V01-V99","V58"
"Other","V01-V99","V59"
"Other","V01-V99","V60"
"Other","V01-V99","V61"
"Other","V01-V99","V62"
"Other","V01-V99","V63"
"Other","V01-V99","V64"
"Other","V01-V99","V65"
"Other","V01-V99","V66"
"Other","V01-V99","V67"
"Other","V01-V99","V68"
"Other","V01-V99","V69"
"Other","V01-V99","V70"
"Other","V01-V99","V71"
"Other","V01-V99","V72"
"Other","V01-V99","V73"
"Other","V01-V99","V74"
"Other","V01-V99","V75"
"Other","V01-V99","V76"
"Other","V01-V99","V77"
"Other","V01-V99","V78"
"Other","V01-V99","V79"
"Other","V01-V99","V80"
"Other","V01-V99","V81"
"Other","V01-V99","V82"
"Other","V01-V99","V83"
"Other","V01-V99","V84"
"Other","V01-V99","V85"
"Other","V01-V99","V86"
"Other","V01-V99","V87"
"Other","V01-V99","V88"
"Other","V01-V99","V89"
"Other","V01-V99","V90"
"Other","V01-V99","V91"
"Other","V01-V99","V92"
"Other","V01-V99","V93"
"Other","V01-V99","V94"
"Other","V01-V99","V95"
"Other","V01-V99","V96"
"Other","V01-V99","V97"
"Other","V01-V99","V98"
"Other","V01-V99","V99"
"Other","W00-W78","W00"
"Other","W00-W78","W01"
"Other","W00-W78","W02"
"Other","W00-W78","W03"
"Other","W00-W78","W04"
"Other","W00-W78","W05"
"Other","W00-W78","W06"
"Other","W00-W78","W07"
"Other","W00-W78","W08"
"Other","W00-W78","W09"
"Other","W00-W78","W10"
"Other","W00-W78","W11"
"Other","W00-W78","W12"
"Other","W00-W78","W13"
"Other","W00-W78","W14"
"Other","W00-W78","W15"
"Other","W00-W78","W16"
"Other","W00-W78","W17"
"Other","W00-W78","W18"
"Other","W00-W78","W19"
"Other","W00-W78","W20"
"Other","W00-W78","W21"
"Other","W00-W78","W22"
"Other","W00-W78","W23"
"Other","W00-W78","W24"
"Other","W00-W78","W25"
"Other","W00-W78","W26"
"Other","W00-W78","W27"
"Other","W00-W78","W28"
"Other","W00-W78","W29"
"Other","W00-W78","W30"
"Other","W00-W78","W31"
"Other","W00-W78","W32"
"Other","W00-W78","W33"
"Other","W00-W78","W34"
"Other","W00-W78","W35"
"Other","W00-W78","W36"
"Other","W00-W78","W37"
"Other","W00-W78","W38"
"Other","W00-W78","W39"
"Other","W00-W78","W40"
"Other","W00-W78","W41"
"Other","W00-W78","W42"
"Other","W00-W78","W43"
"Other","W00-W78","W44"
"Other","W00-W78","W45"
"Other","W00-W78","W46"
"Other","W00-W78","W47"
"Other","W00-W78","W48"
"Other","W00-W78","W49"
"Other","W00-W78","W50"
"Other","W00-W78","W51"
"Other","W00-W78","W52"
"Other","W00-W78","W53"
"Other","W00-W78","W54"
"Other","W00-W78","W55"
"Other","W00-W78","W56"
"Other","W00-W78","W57"
"Other","W00-W78","W58"
"Other","W00-W78","W59"
"Other","W00-W78","W60"
"Other","W00-W78","W61"
"Other","W00-W78","W62"
"Other","W00-W78","W63"
"Other","W00-W78","W64"
"Other","W00-W78","W65"
"Other","W00-W78","W66"
"Other","W00-W78","W67"
"Other","W00-W78","W68"
"Other","W00-W78","W69"
"Other","W00-W78","W70"
"Other","W00-W78","W71"
"Other","W00-W78","W72"
"Other","W00-W78","W73"
"Other","W00-W78","W74"
"Other","W00-W78","W75"
"Other","W00-W78","W76"
"Other","W00-W78","W77"
"Other","W00-W78","W78"
"Birth asphyxia and birth trauma","W79","W79"
"Other","W80-W99","W80"
"Other","W80-W99","W81"
"Other","W80-W99","W82"
"Other","W80-W99","W83"
"Other","W80-W99","W84"
"Other","W80-W99","W85"
"Other","W80-W99","W86"
"Other","W80-W99","W87"
"Other","W80-W99","W88"
"Other","W80-W99","W89"
"Other","W80-W99","W90"
"Other","W80-W99","W91"
"Other","W80-W99","W92"
"Other","W80-W99","W93"
"Other","W80-W99","W94"
"Other","W80-W99","W95"
"Other","W80-W99","W96"
"Other","W80-W99","W97"
"Other","W80-W99","W98"
"Other","W80-W99","W99"
"Other","X00-X54","X00"
"Other","X00-X54","X01"
"Other","X00-X54","X02"
"Other","X00-X54","X03"
"Other","X00-X54","X04"
"Other","X00-X54","X05"
"Other","X00-X54","X06"
"Other","X00-X54","X07"
"Other","X00-X54","X08"
"Other","X00-X54","X09"
"Other","X00-X54","X10"
"Other","X00-X54","X11"
"Other","X00-X54","X12"
"Other","X00-X54","X13"
"Other","X00-X54","X14"
"Other","X00-X54","X15"
"Other","X00-X54","X16"
"Other","X00-X54","X17"
"Other","X00-X54","X18"
"Other","X00-X54","X19"
"Other","X00-X54","X20"
"Other","X00-X54","X21"
"Other","X00-X54","X22"
"Other","X00-X54","X23"
"Other","X00-X54","X24"
"Other","X00-X54","X25"
"Other","X00-X54","X26"
"Other","X00-X54","X27"
"Other","X00-X54","X28"
"Other","X00-X54","X29"
"Other","X00-X54","X30"
"Other","X00-X54","X31"
"Other","X00-X54","X32"
"Other","X00-X54","X33"
"Other","X00-X54","X34"
"Other","X00-X54","X35"
"Other","X00-X54","X36"
"Other","X00-X54","X37"
"Other","X00-X54","X38"
"Other","X00-X54","X39"
"Other","X00-X54","X40"
"Other","X00-X54","X41"
"Other","X00-X54","X42"
"Other","X00-X54","X43"
"Other","X00-X54","X44"
"Other","X00-X54","X45"
"Other","X00-X54","X46"
"Other","X00-X54","X47"
"Other","X00-X54","X48"
"Other","X00-X54","X49"
"Other","X00-X54","X50"
"Other","X00-X54","X51"
"Other","X00-X54","X52"
"Other","X00-X54","X53"
"Other","X00-X54","X54"
"Other","X57-X99","X57"
"Other","X57-X99","X58"
"Other","X57-X99","X59"
"Other","X57-X99","X60"
"Other","X57-X99","X61"
"Other","X57-X99","X62"
"Other","X57-X99","X63"
"Other","X57-X99","X64"
"Other","X57-X99","X65"
"Other","X57-X99","X66"
"Other","X57-X99","X67"
"Other","X57-X99","X68"
"Other","X57-X99","X69"
"Other","X57-X99","X70"
"Other","X57-X99","X71"
"Other","X57-X99","X72"
"Other","X57-X99","X73"
"Other","X57-X99","X74"
"Other","X57-X99","X75"
"Other","X57-X99","X76"
"Other","X57-X99","X77"
"Other","X57-X99","X78"
"Other","X57-X99","X79"
"Other","X57-X99","X80"
"Other","X57-X99","X81"
"Other","X57-X99","X82"
"Other","X57-X99","X83"
"Other","X57-X99","X84"
"Other","X57-X99","X85"
"Other","X57-X99","X86"
"Other","X57-X99","X87"
"Other","X57-X99","X88"
"Other","X57-X99","X89"
"Other","X57-X99","X90"
"Other","X57-X99","X91"
"Other","X57-X99","X92"
"Other","X57-X99","X93"
"Other","X57-X99","X94"
"Other","X57-X99","X95"
"Other","X57-X99","X96"
"Other","X57-X99","X97"
"Other","X57-X99","X98"
"Other","X57-X99","X99"
"Other","Y00-Y91","Y00"
"Other","Y00-Y91","Y01"
"Other","Y00-Y91","Y02"
"Other","Y00-Y91","Y03"
"Other","Y00-Y91","Y04"
"Other","Y00-Y91","Y05"
"Other","Y00-Y91","Y06"
"Other","Y00-Y91","Y07"
"Other","Y00-Y91","Y08"
"Other","Y00-Y91","Y09"
"Other","Y00-Y91","Y10"
"Other","Y00-Y91","Y11"
"Other","Y00-Y91","Y12"
"Other","Y00-Y91","Y13"
"Other","Y00-Y91","Y14"
"Other","Y00-Y91","Y15"
"Other","Y00-Y91","Y16"
"Other","Y00-Y91","Y17"
"Other","Y00-Y91","Y18"
"Other","Y00-Y91","Y19"
"Other","Y00-Y91","Y20"
"Other","Y00-Y91","Y21"
"Other","Y00-Y91","Y22"
"Other","Y00-Y91","Y23"
"Other","Y00-Y91","Y24"
"Other","Y00-Y91","Y25"
"Other","Y00-Y91","Y26"
"Other","Y00-Y91","Y27"
"Other","Y00-Y91","Y28"
"Other","Y00-Y91","Y29"
"Other","Y00-Y91","Y30"
"Other","Y00-Y91","Y31"
"Other","Y00-Y91","Y32"
"Other","Y00-Y91","Y33"
"Other","Y00-Y91","Y34"
"Other","Y00-Y91","Y35"
"Other","Y00-Y91","Y36"
"Other","Y00-Y91","Y37"
"Other","Y00-Y91","Y38"
"Other","Y00-Y91","Y39"
"Other","Y00-Y91","Y40"
"Other","Y00-Y91","Y41"
"Other","Y00-Y91","Y42"
"Other","Y00-Y91","Y43"
"Other","Y00-Y91","Y44"
"Other","Y00-Y91","Y45"
"Other","Y00-Y91","Y46"
"Other","Y00-Y91","Y47"
"Other","Y00-Y91","Y48"
"Other","Y00-Y91","Y49"
"Other","Y00-Y91","Y50"
"Other","Y00-Y91","Y51"
"Other","Y00-Y91","Y52"
"Other","Y00-Y91","Y53"
"Other","Y00-Y91","Y54"
"Other","Y00-Y91","Y55"
"Other","Y00-Y91","Y56"
"Other","Y00-Y91","Y57"
"Other","Y00-Y91","Y58"
"Other","Y00-Y91","Y59"
"Other","Y00-Y91","Y60"
"Other","Y00-Y91","Y61"
"Other","Y00-Y91","Y62"
"Other","Y00-Y91","Y63"
"Other","Y00-Y91","Y64"
"Other","Y00-Y91","Y65"
"Other","Y00-Y91","Y66"
"Other","Y00-Y91","Y67"
"Other","Y00-Y91","Y68"
"Other","Y00-Y91","Y69"
"Other","Y00-Y91","Y70"
"Other","Y00-Y91","Y71"
"Other","Y00-Y91","Y72"
"Other","Y00-Y91","Y73"
"Other","Y00-Y91","Y74"
"Other","Y00-Y91","Y75"
"Other","Y00-Y91","Y76"
"Other","Y00-Y91","Y77"
"Other","Y00-Y91","Y78"
"Other","Y00-Y91","Y79"
"Other","Y00-Y91","Y80"
"Other","Y00-Y91","Y81"
"Other","Y00-Y91","Y82"
"Other","Y00-Y91","Y83"
"Other","Y00-Y91","Y84"
"Other","Y00-Y91","Y85"
"Other","Y00-Y91","Y86"
"Other","Y00-Y91","Y87"
"Other","Y00-Y91","Y88"
"Other","Y00-Y91","Y89"
"Other","Y00-Y91","Y90"
"Other","Y00-Y91","Y91"
"Other","Y95","Y95"
"Other","Y97-Y98","Y97"
"Other","Y97-Y98","Y98"
"Birth asphyxia and birth trauma","ZZ37","ZZ37"
